datetime,temp, undefined
2018012315,2.4, 100.0
2018012316,2.7, 100.0
2018012317,3.2, 100.0
2018012318,3.7,  99.0
2018012319,4.4,  98.0
2018012320,4.9,  94.0
2018012321,5.5,  91.0
2018012322,5.5,  91.0
2018012323,5.4,  96.0
2018012400,6.2,  94.0
2018012401,6.7,  94.0
2018012402,6.9,  95.0
2018012403,7.8,  93.0
2018012404,8.1,  94.0
2018012405,8.7,  93.0
2018012406,8.9,  94.0
2018012407,8.7,  95.0
2018012408,8.8,  95.0
2018012409,9.3,  92.0
2018012410,10.1,  89.0
2018012411,10.4,  89.0
2018012412,10.7,  88.0
2018012413,11.2,  86.0
2018012414,11.5,  82.0
2018012415,11.5,  82.0
2018012416,11.8,  80.0
2018012417,11.8,  80.0
2018012418,12.1,  79.0
2018012419,11.9,  79.0
2018012420,12.3,  76.0
2018012421,12.3,  75.0
2018012422,12.1,  76.0
2018012423,12.2,  75.0
2018012500,6.6,  97.0
2018012501,7.8,  96.0
2018012502,7.8,  95.0
2018012503,7.7,  95.0
2018012504,7.6,  93.0
2018012505,7.6,  91.0
2018012506,7.5,  87.0
2018012507,7.5,  87.0
2018012508,7.4,  86.0
2018012509,7.7,  83.0
2018012510,8.2,  80.0
2018012511,8.8,  77.0
2018012512,9.0,  74.0
2018012513,8.8,  74.0
2018012514,8.7,  75.0
2018012515,8.4,  78.0
2018012516,8.0,  81.0
2018012517,7.4,  85.0
2018012518,6.9,  89.0
2018012519,6.7,  91.0
2018012520,6.8,  90.0
2018012521,6.8,  90.0
2018012522,6.4,  92.0
2018012523,6.0,  94.0
2018012600,6.0,  93.0
2018012601,6.1,  94.0
2018012602,6.0,  93.0
2018012603,6.2,  96.0
2018012604,5.9,  97.0
2018012605,5.7,  97.0
2018012606,5.5,  98.0
2018012607,5.5,  98.0
2018012608,5.0, 100.0
2018012609,5.5,  98.0
2018012610,5.8,  96.0
2018012611,5.7,  95.0
2018012612,5.3,  96.0
2018012613,5.6,  97.0
2018012614,5.1,  98.0
2018012615,4.7, 100.0
2018012616,4.6, 100.0
2018012617,4.5, 100.0
2018012618,4.3, 100.0
2018012619,4.6, 100.0
2018012620,4.5, 100.0
2018012621,5.0,  97.0
2018012622,5.2,  91.0
2018012623,5.3,  93.0
2018012700,5.0,  96.0
2018012701,5.0,  94.0
2018012702,5.4,  81.0
2018012703,5.2,  85.0
2018012704,4.8,  88.0
2018012705,4.6,  90.0
2018012706,4.4,  92.0
2018012707,4.4,  92.0
2018012708,4.4,  91.0
2018012709,4.8,  91.0
2018012710,5.3,  87.0
2018012711,6.0,  81.0
2018012712,6.3,  77.0
2018012713,6.2,  80.0
2018012714,6.4,  76.0
2018012715,6.3,  79.0
2018012716,6.2,  80.0
2018012717,5.9,  83.0
2018012718,5.8,  84.0
2018012719,5.9,  79.0
2018012720,5.8,  78.0
2018012721,6.2,  75.0
2018012722,6.2,  75.0
2018012723,5.8,  81.0
2018012800,6.4,  75.0
2018012801,5.7,  84.0
2018012802,5.4,  92.0
2018012803,5.8,  93.0
2018012804,6.5,  92.0
2018012805,6.9,  89.0
2018012806,7.3,  83.0
2018012807,7.1,  82.0
2018012808,6.9,  81.0
2018012809,7.1,  79.0
2018012810,7.5,  76.0
2018012811,7.7,  78.0
2018012812,8.0,  75.0
2018012813,8.4,  72.0
2018012814,8.2,  73.0
2018012815,8.1,  74.0
2018012816,7.9,  77.0
2018012817,7.1,  87.0
2018012818,6.7,  96.0
2018012819,6.8,  99.0
2018012820,7.1,  99.0
2018012821,7.9,  97.0
2018012822,8.3,  97.0
2018012823,8.6,  96.0
2018012900,8.8,  95.0
2018012901,9.1,  95.0
2018012902,9.3,  95.0
2018012903,9.7,  94.0
2018012904,10.0,  94.0
2018012905,9.8,  95.0
2018012906,10.2,  82.0
2018012907,10.1,  78.0
2018012908,9.8,  77.0
2018012909,9.8,  75.0
2018012910,9.1,  83.0
2018012911,8.6,  92.0
2018012912,8.8,  92.0
2018012913,9.2,  89.0
2018012914,8.7,  92.0
2018012915,8.0,  94.0
2018012916,6.3,  95.0
2018012917,6.1,  91.0
2018012918,6.0,  88.0
2018012919,5.8,  88.0
2018012920,4.9,  88.0
2018012921,5.5,  87.0
2018012922,5.3,  84.0
2018012923,5.0,  85.0
2018013000,5.1,  84.0
2018013001,5.2,  82.0
2018013002,5.0,  82.0
2018013003,4.9,  82.0
2018013004,5.1,  81.0
2018013005,5.0,  81.0
2018013006,4.8,  83.0
2018013007,4.9,  83.0
2018013008,4.8,  84.0
2018013009,4.9,  83.0
2018013010,5.1,  83.0
2018013011,5.5,  80.0
2018013012,5.7,  79.0
2018013013,5.6,  79.0
2018013014,5.1,  79.0
2018013015,4.6,  87.0
2018013016,5.0,  81.0
2018013017,4.5,  80.0
2018013018,4.5,  80.0
2018013019,4.2,  82.0
2018013020,4.6,  81.0
2018013021,4.7,  79.0
2018013022,4.6,  81.0
2018013023,4.1,  84.0
2018013100,3.4,  86.0
2018013101,2.9,  86.0
2018013102,2.4,  89.0
2018013103,2.0,  91.0
2018013104,1.8,  92.0
2018013105,2.1,  89.0
2018013106,2.4,  86.0
2018013107,2.7,  84.0
2018013108,3.3,  81.0
2018013109,3.2,  94.0
2018013110,3.8,  96.0
2018013111,5.0,  98.0
2018013112,6.4,  98.0
2018013113,7.4,  94.0
2018013114,8.0,  91.0
2018013115,8.0,  88.0
2018013116,7.2,  92.0
2018013117,6.9,  88.0
2018013118,6.4,  87.0
2018013119,5.1,  90.0
2018013120,5.0,  81.0
2018013121,4.3,  84.0
2018013122,4.4,  82.0
2018013123,3.5,  84.0
2018020100,3.6,  84.0
2018020101,3.3,  84.0
2018020102,3.0,  85.0
2018020103,2.4,  86.0
2018020104,1.8,  86.0
2018020105,1.7,  85.0
2018020106,1.5,  86.0
2018020107,1.6,  85.0
2018020108,1.5,  87.0
2018020109,2.2,  84.0
2018020110,2.7,  83.0
2018020111,3.1,  82.0
2018020112,3.6,  80.0
2018020113,3.8,  78.0
2018020114,4.1,  77.0
2018020115,4.2,  75.0
2018020116,4.1,  74.0
2018020117,4.1,  76.0
2018020118,3.8,  78.0
